-38,42,672,4.0
110,32,386,4.0
297,52,617,4.0
-121,42,670,4.0
-190,60,914,0.4
-23,47,341,4.0
-55,49,745,4.0
-195,21,347,0.4
-188,63,895,0.4
-34,46,463,0.4
-149,33,472,0.5
-35,47,327,0.4
-55,65,360,0.4
-47,39,472,0.4
72,55,624,4.0
-105,55,629,0.5
-13,55,326,4.0
13,55,326,4.0
-118,49,674,4.0
-190,56,1064,4.0
-193,66,693,0.4
-144,41,683,4.0
-75,52,505,4.0
-14,39,465,4.0
-46,39,456,4.0
-106,72,328,4.0
-99,42,672,4.0
-25,47,409,4.0
-194,63,766,0.4
-199,71,339,4.0
295,52,613,4.0
-188,56,1032,4.0
-196,63,782,4.0
-155,102,341,0.5
-44,57,1229,4.0
44,57,1229,4.0
-106,72,324,4.0
-101,57,1231,4.0
101,57,1231,0.4
-154,78,341,0.5
-185,33,543,0.5
-79,49,742,4.0
-180,36,504,0.5
17,39,561,4.0
120,70,1229,0.4
-196,63,774,4.0
-188,56,1020,4.0
-119,24,731,0.5
-25,47,405,4.0
-190,56,1048,4.0
-49,42,670,4.0
-26,54,463,0.4
-91,35,661,0.5
-163,51,518,4.0
-30,51,327,0.4
-14,39,595,4.0
-188,56,1201,4.0
-161,57,1231,4.0
-194,63,758,0.4
295,52,605,4.0
-28,47,505,0.4
151,37,680,4.0
15,39,546,4.0
-189,41,510,0.5
-12,67,625,4.0
112,32,402,4.0
21,55,328,4.0
-52,63,355,0.4
215,37,669,4.0
111,32,638,4.0
-148,29,436,0.5
295,52,597,4.0
151,37,672,4.0
-78,51,657,0.5
-190,56,1217,1.0
32,55,326,4.0
15,39,538,4.0
-165,41,662,4.0
-140,49,745,4.0
-126,38,687,4.0
-25,47,401,4.0
153,37,688,0.5
-159,42,672,4.0
111,32,630,4.0
-81,35,670,0.5
-14,39,587,4.0
-188,56,1185,4.0
-84,55,631,4.0
-55,72,367,0.4
-39,57,1231,4.0
39,57,1231,4.0
-52,63,351,4.0
-36,39,465,4.0
-190,60,906,0.4
-112,57,1229,4.0
-119,52,503,4.0
-23,39,463,4.0
-167,67,322,4.0
131,37,689,4.0
172,37,667,4.0
263,37,669,4.0
-132,37,516,0.5
112,32,398,4.0
-26,40,672,0.4
-97,49,676,0.5
-141,42,705,4.0
-87,45,638,0.4
-196,32,452,4.0
262,37,667,4.0
-119,30,711,0.5
-23,47,337,4.0
87,55,326,4.0
110,32,382,4.0
-68,41,480,4.0
-103,35,676,0.4
297,52,609,4.0
-35,47,323,0.4
-132,37,510,0.5
112,32,394,4.0
-192,60,914,0.4
110,32,606,4.0
111,32,622,4.0
-122,42,670,4.0
-28,52,465,0.4
297,52,601,4.0
-16,39,666,4.0
73,55,624,4.0
110,32,378,1.0
-139,36,511,4.0
-180,36,500,0.5
17,39,553,4.0
-119,49,674,4.0
-16,41,605,0.5
-106,72,320,4.0
-190,63,895,0.4
-151,33,472,0.5
-76,52,505,4.0
-23,47,333,0.4
-14,52,625,4.0
-187,68,326,0.5
-14,46,483,0.4
-48,52,503,4.0
-154,46,683,4.0
-100,42,672,4.0
-195,75,373,0.5
-57,58,467,0.4
-188,56,1012,4.0
-196,63,766,0.4
-195,66,693,0.4
-146,41,683,4.0
14,55,622,4.0
54,55,328,4.0
-190,56,1032,4.0
112,32,414,4.0
-82,55,631,4.0
-155,42,672,4.0
-35,39,465,4.0
-38,57,1231,4.0
38,57,1231,4.0
-144,29,436,4.0
45,76,766,0.5
-136,49,745,4.0
-161,41,662,4.0
110,32,398,4.0
297,52,641,4.0
-137,42,705,4.0
-7,48,632,4.0
109,32,630,4.0
168,37,667,4.0
-96,49,692,4.0
-105,37,679,0.4
-23,47,353,4.0
-66,41,480,0.4
-34,47,323,0.4
-14,39,477,4.0
-155,32,479,0.5
-110,57,1229,4.0
